ID,site.ID,region,region.ID,subregion (NA),subregion.ID (NA),year,season.phase,season.phase.ID,type,type.ID,sex,sex.ID,INF.status,Affiliation,State,City,Zipcode,Date Collected,Date Sampled,Date Processed,Method,Notes,UGA MyID,TAG #,OE score,,,,,,,,,,,,,,,,,,,
20111,122,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,Dara Satterfield,SC,"Folly Beach, SC",32346,2/22/2012,2/22/2012,2012,tape,,,PER 121,2,,,,,,,,,,,,,,,,,,,
20112,122,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,Dara Satterfield,SC,"Folly Beach, SC",32346,2/22/2012,2/22/2012,2012,tape,,,PER 122,1,,,,,,,,,,,,,,,,,,,
20113,122,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,Dara Satterfield,SC,"Folly Beach, SC",32346,2/22/2012,2/22/2012,2012,tape,,,PER 123,1,,,,,,,,,,,,,,,,,,,
20115,122,coastal overwintering,4,southeast,3,1,Feb,7,A,2,F,1,0,Dara Satterfield,SC,"Folly Beach, SC",32346,2/22/2012,2/22/2012,2012,tape,,,PER 125,1,,,,,,,,,,,,,,,,,,,
20116,122,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,Dara Satterfield,SC,"Folly Beach, SC",32346,2/22/2012,2/22/2012,2012,tape,,,PER 126,1,,,,,,,,,,,,,,,,,,,
13,122,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Folly Beach, SC",32346,2/24/2012,2/24/2012,2012,tape,Tagged Middle Folly Beach 1/08/2012; 2nd capture,,PCN 726,0,,,,,,,,,,,,,,,,,,,
14,122,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Folly Beach, SC",32346,2/24/2012,2/24/2012,2012,tape,Tagged Middle Folly Beach 1/08/2012; 3rd capture,,PCN 728,0,,,,,,,,,,,,,,,,,,,
33,122,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Folly Beach, SC",32346,2/24/2012,2/24/2012,2012,tape,Tagged SW Folly Beach 2/24/2012; first capture,,PER 135,0,,,,,,,,,,,,,,,,,,,
34,122,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Folly Beach, SC",32346,2/24/2012,2/24/2012,2012,tape,Tagged SW Folly Beach 2/24/2012; first capture,,PER 136,0,,,,,,,,,,,,,,,,,,,
35,122,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Folly Beach, SC",32346,2/24/2012,2/24/2012,2012,tape,Tagged SW Folly Beach 2/24/2012; first capture,,PER 140,0,,,,,,,,,,,,,,,,,,,
36,122,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Folly Beach, SC",32346,2/24/2012,2/24/2012,2012,tape,Tagged SW Folly Beach 2/24/2012; first capture,,PER 142,0,,,,,,,,,,,,,,,,,,,
78,122,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Folly Beach, SC",32346,2/24/2012,2/24/2012,2012,tape,Tagged SW Folly Beach 2/24/2012; first capture,,PER 134,1,,,,,,,,,,,,,,,,,,,
79,122,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Folly Beach, SC",32346,2/24/2012,2/24/2012,2012,tape,Tagged SW Folly Beach 2/24/2012; first capture,,PER 137,1,,,,,,,,,,,,,,,,,,,
80,122,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Folly Beach, SC",32346,2/24/2012,2/24/2012,2012,tape,Tagged SW Folly Beach 2/24/2012; first capture,,PER 138,1,,,,,,,,,,,,,,,,,,,
81,122,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Folly Beach, SC",32346,2/24/2012,2/24/2012,2012,tape,Tagged SW Folly Beach 2/24/2012; first capture,,PER 139,1,,,,,,,,,,,,,,,,,,,
20082,122,coastal overwintering,4,southeast,3,1,Feb,7,A,2,F,1,1,Dara Satterfield,SC,"Folly Beach, SC",32346,2/22/2012,2/22/2012,2012,tape,,,PER 095,3,,,,,,,,,,,,,,,,,,,
20088,122,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,1,Dara Satterfield,SC,"Folly Beach, SC",32346,2/22/2012,2/22/2012,2012,tape,,,PER 101,3,,,,,,,,,,,,,,,,,,,
20114,122,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,1,Dara Satterfield,SC,"Folly Beach, SC",32346,2/22/2012,2/22/2012,2012,tape,,,PER 124,3,,,,,,,,,,,,,,,,,,,
91,122,coastal overwintering,4,southeast,3,1,Feb,7,A,2,F,1,1,,SC,"Folly Beach, SC",32346,2/24/2012,2/24/2012,2012,tape,Tagged SW Folly Beach 2/24/2012; first capture,,PER 141,3,,,,,,,,,,,,,,,,,,,
1,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 12/25/2011; 5th capture,,NPH 425,0,,,,,,,,,,,,,,,,,,,
5,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 12/25/2011; 6th capture; recaptured again 2/20 (#51 in Dara's book),,NPH 471,0,,,,,,,,,,,,,,,,,,,
6,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 12/31/2011; 2nd capture,,PBL 513,0,,,,,,,,,,,,,,,,,,,
7,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 12/31/2011; 5th capture,,PBL 529,0,,,,,,,,,,,,,,,,,,,
8,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 12/31/2011; 5th capture; recaptured again 2/20 (#52 in Dara's book); OE score was 0 the first time and 2 the second time on 2/20,,PBL 540,0,,,,,,,,,,,,,,,,,,,
9,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 1/02/2012; 3rd capture,,PBL 580,0,,,,,,,,,,,,,,,,,,,
11,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 1/02/2012; 5th capture,,PBL 598,0,,,,,,,,,,,,,,,,,,,
12,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 1/02/2012; 8th capture,,PBL 622,0,,,,,,,,,,,,,,,,,,,
17,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 1/25/2012; 6th capture,,PCN 860,0,,,,,,,,,,,,,,,,,,,
18,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 1/28/2012; 3rd capture; recaptured again on 2/20 (#55 in Dara's book),,PCN 881,0,,,,,,,,,,,,,,,,,,,
19,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 2/02/2012; 2nd capture,,PCN 912,0,,,,,,,,,,,,,,,,,,,
21,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,F,1,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Ex-larva James Is. emerged indoors 2/06/12; Tagged Patriot's Point 2/08/2012; 1st recovery,,PCN 961,0,,,,,,,,,,,,,,,,,,,
22,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 2/08/2012; 2nd capture; recaptured again on 2/20 (#65 in Dara's book); OE score was 0 the first time and 1 the second time (2/20),,PCN 968,0,,,,,,,,,,,,,,,,,,,
25,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 2/15/2012; first capture,,PCN 991,0,,,,,,,,,,,,,,,,,,,
26,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 2/15/2012; first capture,,PCN 993,0,,,,,,,,,,,,,,,,,,,
27,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,F,1,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 2/15/2012; first capture,,PCN 994,0,,,,,,,,,,,,,,,,,,,
28,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,F,1,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 2/15/2012; first capture,,PCN 995,0,,,,,,,,,,,,,,,,,,,
55,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 12/25/2011; 5th capture,,PNC 749,0,,,,,,,,,,,,,,,,,,,
57,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 12/30/2011; 5th capture,,NJM 238,1,,,,,,,,,,,,,,,,,,,
58,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 12/25/2011; 11th capture,,NPH 465,1,,,,,,,,,,,,,,,,,,,
59,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 12/28/2011; 5th capture,,NPH 521,1,,,,,,,,,,,,,,,,,,,
60,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 12/31/2011; 8th capture,,PBL 518,1,,,,,,,,,,,,,,,,,,,
61,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 1/02/2012; 4th capture,,PBL 612,1,,,,,,,,,,,,,,,,,,,
62,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 1/06/2012; 8th capture,,PBL 627,1,,,,,,,,,,,,,,,,,,,
63,123,coastal overwintering,4,southeast,3,1,Feb,7,A,2,M,2,0,,SC,"Mount Pleasant, SC",32346,2/15/2012,2/15/2012,2012,tape,Tagged Patriot's Point 1/09/2012; 7th capture,,PCN 754,1,,,,,,,,,,,,,,,,,,,
